113	108.1208	140	96.6208	138.5134	120.3104	166.0134	120.3104
140	96.6208	171.5	110.1208	166.0134	120.3104	187.5134	154.3104
171.5	110.1208	142	118.1208	187.5134	154.3104	154.0134	148.8104
142	118.1208	113	108.1208	154.0134	148.8104	138.5134	120.3104
229.5	111.1208	258.5	96.1208	306.0134	157.8104	325.5134	120.3104
258.5	96.1208	284.5	109.1208	325.5134	120.3104	355.5134	125.3104
284.5	109.1208	258.5	117.1208	355.5134	125.3104	337.5134	149.3104
258.5	117.1208	229.5	111.1208	337.5134	149.3104	306.0134	157.8104
189	112.1208	174.5	180.6208	206.5134	160.8104	192.5134	285.8104
209.5	109.1208	229	181.6208	285.5134	158.8104	299.0134	282.8104
175.5	185.6208	201	191.6208	198.0134	297.8104	245.5134	338.3104
206	193.1208	227	185.6208	251.0134	339.8104	294.0134	295.8104
197.5	213.6208	157	232.1208	244.5134	360.3104	203.5134	375.8104
204.5	213.6208	242.5	227.6208	253.0134	359.8104	294.5134	375.8104
105	2.5	80	47.5	112.5134	1.5	73.0134	72
294	1	319	52.5	401.0134	2	432.5	57
80.5	56.5	77	133	70.5	82	54	191
321	64.5	321.5	133.5	437	82.5	446.5	189
105.5	247.5	174	295	90.5	291.5	182	413
295	247.5	226.5	292.5	434.5	292.5	298.5	410
155.7838	231.7432	197.6757	250.6622	200.9578	377.9443	244.0287	383.5929
202.7432	251	245.9865	231.7432	249.6774	383.9459	289.5709	375.473
