23.854	55.759	21.047	69.338	29.647	53.146	28.956	65.69
30.068	56.136	36.483	67.829	35.638	51.626	45.776	59.228
18.842	90.461	23.653	82.917	31.03	76.333	37.712	78.234
23.653	82.917	39.891	81.785	37.712	78.234	44.394	76.333
39.891	81.785	46.706	88.952	44.394	76.333	53.15	71.392
6.6141	55.382	13.63	46.706	17.666	55.047	22.044	47.064
13.63	46.706	21.849	53.496	22.044	47.064	26.652	49.345
21.849	53.496	15.434	61.794	26.652	49.345	22.735	54.667
15.434	61.794	6.6141	55.382	22.735	54.667	18.127	54.287
30.469	52.364	38.086	43.311	40.707	45.924	46.237	40.222
38.086	43.311	47.308	51.987	46.237	40.222	53.841	43.263
47.308	51.987	38.688	59.154	53.841	43.263	47.159	48.205
38.688	59.154	30.268	52.741	47.159	48.205	40.707	45.924
9.621	70.469	16.437	91.592	17.896	63.789	24.348	80.895
16.437	91.592	25.858	104.04	24.348	80.895	39.555	95.719
25.858	104.04	40.091	104.42	39.555	95.719	49.463	96.86
40.091	104.42	52.52	98.382	49.463	96.86	64.21	82.415
52.52	98.382	66.552	85.934	64.21	82.415	75.73	64.55
